Index,Brand,Model,Motor,Year,Mileage,Gear,Fuel,Price
102,PEUGEOT,3008 II,1.2 PURETECH 130 ALLURE,2021,79478,Manuelle,Essence,29980
103,PEUGEOT,3008 II,1.2 PURETECH 130 ACTIVE BUSINESS,2020,31210,Automatique,Essence,32670
104,PEUGEOT,208 II,1.2 PURETECH 100 GT PACK,2022,25216,Manuelle,Essence,25870
105,PEUGEOT,208 II,1.2 PURETECH 130 ALLURE PACK,2022,28137,Automatique,Essence,25870
106,PEUGEOT,2008 phase 2,1.2 PURETECH 130 ALLURE,2020,31854,Automatique,Essence,23100
107,PEUGEOT,208 II,1.2 PURETECH 100 STYLE,2023,23305,Manuelle,Essence,20740
108,PEUGEOT,208 phase 2,1.2 PURETECH 82 SIGNATURE,2020,14132,Manuelle,Essence,17740
109,PEUGEOT,3008 II,1.2 PURETECH 130 ALLURE,2020,19754,Manuelle,Essence,29980
110,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE PACK,2022,21657,Manuelle,Essence,20120
111,PEUGEOT,308 II phase 2,1.2 PURETECH 130 ALLURE PACK,2022,18471,Manuelle,Essence,23430
112,PEUGEOT,208 II,1.2 PURETECH 100 ACTIVE PACK,2022,15230,Manuelle,Essence,22180
113,PEUGEOT,208 phase 2,1.2 PURETECH 82 SIGNATURE,2020,19455,Manuelle,Essence,16770
114,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2022,35258,Manuelle,Essence,23050
115,PEUGEOT,308 (2E GENERATION),ACTIVE 1.2 PURETECH 110CH MANUELLE,2021,31277,Manuelle,Essence,19390
116,PEUGEOT,2008 II,1.2 PURETECH 100 ALLURE,2023,17604,Manuelle,Essence,25810
117,PEUGEOT,3008 II phase 2,1.2 PURETECH 130 GT,2022,52828,Manuelle,Essence,32630
118,PEUGEOT,5008 II,1.2 PURETECH 130 ACTIVE,2020,52636,Manuelle,Essence,31110
119,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2020,35195,Automatique,Essence,23550
120,PEUGEOT,RIFTER,1.2 PURETECH 110 ACTIVE,2020,41306,Manuelle,Essence,24590
121,PEUGEOT,208 II,1.2 PURETECH 75 ACTIVE BUSINESS,2021,30380,Manuelle,Essence,18190
122,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2022,46292,Manuelle,Essence,23350
123,PEUGEOT,208 II,1.2 PURETECH 75 STYLE,2023,17535,Manuelle,Essence,16940
124,PEUGEOT,308 II phase 2,1.2 PURETECH 130 ALLURE,2022,45643,Automatique,Essence,26790
125,PEUGEOT,208 II,1.2 PURETECH 75 ACTIVE PACK,2023,24494,Manuelle,Essence,22740
126,PEUGEOT,3008 II,1.2 PURETECH 130 ALLURE BUSINESS,2020,34920,Manuelle,Essence,29480
127,PEUGEOT,5008 II,1.6 PURETECH 180 GT LINE,2020,43352,Automatique,Essence,35830
128,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2020,45675,Automatique,Essence,22740
129,PEUGEOT,3008 II,1.2 PURETECH 130 ALLURE,2021,82360,Manuelle,Essence,27240
130,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE BUSINESS,2021,12526,Manuelle,Essence,24410
131,PEUGEOT,208 II,1.2 PURETECH 75 ACTIVE PACK,2023,22853,Manuelle,Essence,20110
132,PEUGEOT,2008 II,1.2 PURETECH 130 ALLURE PACK,2022,45742,Manuelle,Essence,26910
133,PEUGEOT,308 II phase 2,1.2 PURETECH 130 ALLURE,2021,28874,Automatique,Essence,29500
134,PEUGEOT,3008 II,1.2 PURETECH 130 ACTIVE,2020,99381,Manuelle,Essence,23460
135,PEUGEOT,2008,1.2 PURETECH 82CH STYLE,2020,40342,Manuelle,Essence,16710
136,PEUGEOT,2008 phase 2,1.2 PURETECH 130 ALLURE,2020,58850,Manuelle,Essence,20040
