Index,Brand,Model,Motor,Year,Mileage,Gear,Fuel,Price
132,PEUGEOT,RIFTER,1.2 PURETECH 110 ALLURE,2020,24752,Manuelle,Essence,27730
133,PEUGEOT,2008 II,1.2 PURETECH 130 GT,2023,14696,Automatique,Essence,32650
134,PEUGEOT,2008 II,1.2 PURETECH 130 ALLURE PACK,2022,24874,Automatique,Essence,31550
135,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2022,46669,Manuelle,Essence,23540
136,PEUGEOT,2008 II,1.2 PURETECH 130 STYLE,2023,12163,Manuelle,Essence,29170
137,PEUGEOT,2008 phase 2,1.2 PURETECH 130 GT LINE,2020,61424,Automatique,Essence,22680
138,PEUGEOT,3008 II,1.2 PURETECH 130 ALLURE,2020,19919,Manuelle,Essence,30230
139,PEUGEOT,308 II phase 2,1.2 PURETECH 130 ALLURE PACK,2022,64931,Manuelle,Essence,23570
140,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2022,35547,Manuelle,Essence,23240
141,PEUGEOT,RIFTER,1.2 PURETECH 110 GT LINE,2020,50903,Manuelle,Essence,27280
142,PEUGEOT,208 phase 2,1.2 PURETECH 82 SIGNATURE,2020,20998,Manuelle,Essence,15310
143,PEUGEOT,208 II,1.2 PURETECH 100 STYLE,2023,23088,Manuelle,Essence,24360
144,PEUGEOT,5008 II phase 2,1.2 PURETECH 130 GT PACK,2022,29450,Automatique,Essence,49180
145,PEUGEOT,2008 II,1.2 PURETECH 100 ACTIVE BUSINESS,2023,32585,Manuelle,Essence,24400
146,PEUGEOT,308 (2E GENERATION),ACTIVE 1.2 PURETECH 110CH MANUELLE,2021,13289,Manuelle,Essence,21240
147,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2020,62069,Manuelle,Essence,22980
148,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2020,35355,Automatique,Essence,22530
149,PEUGEOT,3008 II phase 2,1.2 PURETECH 130 GT PACK,2022,46797,Automatique,Essence,36020
150,PEUGEOT,208 II,1.2 PURETECH 100 GT LINE,2021,27445,Manuelle,Essence,24260
151,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE,2021,38164,Manuelle,Essence,21920
152,PEUGEOT,208 II,1.2 PURETECH 100 ALLURE BUSINESS,2021,31265,Manuelle,Essence,22300
